A,B,freq,genericity,Class
développement,filière,30,9.515054079,
dispositif,article,30,9.515054079,drop
déposer,demande,30,9.515054079,
notamment,termes,30,9.515054079,
lutte,diffusion,30,9.515054079,
police,judiciaire,30,9.515054079,
convention,collective,29,9.548955631,
viande,bovine,29,9.548955631,
pose,problème,29,9.548955631,
niveau,local,29,9.548955631,
physiques,morales,29,9.548955631,
public,ferroviaire,29,9.548955631,
grande,instance,29,9.548955631,
apparaît,souhaitable,29,9.548955631,
habilitant,gouvernement,29,9.548955631,
domaine,compétence,29,9.548955631,
présent,vise,29,9.548955631,
agit,permettre,29,9.548955631,
signal,fort,29,9.548955631,
morales,droit,29,9.548955631,
biais,amendement,29,9.548955631,
organismes,habitations,29,9.548955631,
proroger,dispositif,29,9.548955631,
acteurs,secteur,29,9.548955631,
créer,nouvelle,29,9.548955631,
application,droit,29,9.548955631,
taux,crédit,29,9.548955631,
euros,supplémentaires,29,9.548955631,
associations,cultuelles,29,9.548955631,
régime,social,29,9.548955631,
code,relations,29,9.548955631,support
foncier,solidaire,29,9.548955631,
acteurs,filière,29,9.548955631,
convient,rappeler,29,9.548955631,
montant,total,29,9.548955631,
dispositions,articles,29,9.548955631,drop
compte,calcul,29,9.548955631,
permettant,assurer,29,9.548955631,
initiale,article,29,9.548955631,drop
pourra,faire,29,9.548955631,
dispositif,dit,29,9.548955631,
position,formelle,29,9.548955631,
accord,cadre,29,9.548955631,
nouvel,outil,29,9.548955631,
matière,délivrance,29,9.548955631,
projets,déjà,29,9.548955631,
droit,vigueur,29,9.548955631,
nouvelles,formes,29,9.548955631,
parc,privé,29,9.548955631,
taxe,valeur,29,9.548955631,
biais,agit,29,9.548955631,
propose,limiter,29,9.548955631,intention
décision,dc,29,9.548955631,
février,relative,29,9.548955631,
mise,cohérence,29,9.548955631,
reporter,obligation,29,9.548955631,
ordonnance,juillet,29,9.548955631,
article,cch,29,9.548955631,drop
alimentation,animale,29,9.548955631,
gouvernement,rapport,29,9.548955631,intention
modalités,détermination,29,9.548955631,
loi,permet,29,9.548955631,
issu,recommandation,29,9.548955631,
réserve,ministérielle,29,9.548955631,
niveau,régional,29,9.548955631,
n,janvier,29,9.548955631,
subventions,publiques,29,9.548955631,
droit,consommation,29,9.548955631,
créé,loi,29,9.548955631,
permet,limiter,29,9.548955631,
inscrit,cadre,29,9.548955631,
judiciaire,vierge,29,9.548955631,
nouvelle,obligation,29,9.548955631,
société,économie,29,9.548955631,
vise,répondre,29,9.548955631,intention
répondre,demande,29,9.548955631,
téléphone,portable,29,9.548955631,
prévoit,cas,29,9.548955631,
modèle,économique,29,9.548955631,
aide,publique,29,9.548955631,
contrats,travail,29,9.548955631,
logements,an,29,9.548955631,
hydrocarbures,conventionnels,29,9.548955631,
retenue,source,29,9.548955631,
dépenses,travaux,29,9.548955631,
mises,place,29,9.548955631,
activité,entreprises,29,9.548955631,
france,union,29,9.548955631,
vise,apporter,29,9.548955631,intention
risques,impacts,29,9.548955631,
point,départ,29,9.548955631,
loi,alors,29,9.548955631,
travail,prévoit,29,9.548955631,
pratiques,agricoles,29,9.548955631,
grands,principes,29,9.548955631,
plafond,ressources,29,9.548955631,
revenus,année,29,9.548955631,
principe,précaution,29,9.548955631,
visés,article,29,9.548955631,drop
amendement,consiste,29,9.548955631,drop
enfants,ans,29,9.548955631,
donnant,extérieur,29,9.548955631,
dépenses,liées,29,9.548955631,
mesure,vise,29,9.548955631,
carte,résident,29,9.548955631,
haute,performance,29,9.548955631,
services,paiement,29,9.548955631,
soins,palliatifs,29,9.548955631,
main,œuvre,28,9.584046951,
prioritaires,politique,28,9.584046951,
dispositions,applicables,28,9.584046951,
êtres,humains,28,9.584046951,
valeur,locative,28,9.584046951,
déjà,existants,28,9.584046951,
prévu,projet,28,9.584046951,
articles,présent,28,9.584046951,drop
convient,assurer,28,9.584046951,
autorité,organisatrice,28,9.584046951,
envoie,signal,28,9.584046951,
propose,inscrire,28,9.584046951,intention
amendement,agit,28,9.584046951,drop
applicable,immobilisations,28,9.584046951,
industrielles,matière,28,9.584046951,
fiscalité,locale,28,9.584046951,
compter,septembre,28,9.584046951,
justifie,texte,28,9.584046951,
financement,formation,28,9.584046951,
droit,existant,28,9.584046951,
gouvernement,prévoit,28,9.584046951,
manière,générale,28,9.584046951,
application,règles,28,9.584046951,
supprimer,obligation,28,9.584046951,
perte,recettes,28,9.584046951,
ville,paris,28,9.584046951,
pouvoir,substitution,28,9.584046951,
sortie,progressive,28,9.584046951,
peine,emprisonnement,28,9.584046951,
justice,union,28,9.584046951,
accord,entreprise,28,9.584046951,
nécessaire,faire,28,9.584046951,
prix,payé,28,9.584046951,
procédure,civile,28,9.584046951,
fasse,objet,28,9.584046951,
droit,communication,28,9.584046951,
prestations,services,28,9.584046951,
employeurs,salariés,28,9.584046951,
projet,transition,28,9.584046951,
sites,internet,28,9.584046951,
faciliter,accès,28,9.584046951,
logement,hébergement,28,9.584046951,
egalité,citoyenneté,28,9.584046951,
climat,présenté,28,9.584046951,
aides,financières,28,9.584046951,
conditions,fixées,28,9.584046951,
taux,taxe,28,9.584046951,
accès,emploi,28,9.584046951,
formation,continue,28,9.584046951,
produits,qualité,28,9.584046951,
prévue,loi,28,9.584046951,
ouvrant,droit,28,9.584046951,
gouvernement,remette,28,9.584046951,
apprentissage,formation,28,9.584046951,
comité,technique,28,9.584046951,
communes,population,28,9.584046951,drop
missions,service,28,9.584046951,
cohérence,amendement,28,9.584046951,
représentatives,niveau,28,9.584046951,
office,national,28,9.584046951,
cas,manquement,28,9.584046951,
conclure,contrat,28,9.584046951,
but,amendement,28,9.584046951,
taxe,transactions,28,9.584046951,
syndicat,mixte,28,9.584046951,
aide,séjour,28,9.584046951,
milieux,aquatiques,28,9.584046951,
directe,indirecte,28,9.584046951,
production,hydrocarbures,28,9.584046951,
plan,stratégique,28,9.584046951,
plan,national,28,9.584046951,
zones,géographiques,28,9.584046951,
environnement,développement,28,9.584046951,
disposition,adoptée,28,9.584046951,
équilibre,financier,28,9.584046951,
solidarité,fortune,28,9.584046951,
droits,enregistrement,28,9.584046951,
ministre,économie,28,9.584046951,
base,légale,28,9.584046951,
opération,aménagement,28,9.584046951,
nombre,limité,28,9.584046951,
ensemble,communes,28,9.584046951,
formation,apprentissage,28,9.584046951,
articles,déclaration,28,9.584046951,drop
auprès,administration,28,9.584046951,
solidarité,rurale,28,9.584046951,
bon,déroulement,28,9.584046951,
partie,législative,28,9.584046951,
supérieur,enfant,28,9.584046951,
prix,abusivement,28,9.584046951,
accès,marché,28,9.584046951,
missions,confiées,28,9.584046951,
introduite,sénat,28,9.584046951,
assurance,vie,28,9.584046951,
contrôle,parlementaire,28,9.584046951,
recours,abusifs,28,9.584046951,theme
autorisation,environnementale,28,9.584046951,
électricité,collective,28,9.584046951,
atelier,états,28,9.584046951,
actuel,article,28,9.584046951,drop
continuité,territoriale,28,9.584046951,
notamment,proposé,27,9.620414595,
réglementation,européenne,27,9.620414595,
ans,maximum,27,9.620414595,
représentant,légal,27,9.620414595,
missions,constitutionnelles,27,9.620414595,
évaluation,mis,27,9.620414595,
remis,cause,27,9.620414595,
rapporteur,public,27,9.620414595,
tva,taux,27,9.620414595,
disposition,législative,27,9.620414595,
permettant,accès,27,9.620414595,
propose,maintenir,27,9.620414595,intention
objectif,fixé,27,9.620414595,
objectifs,moyens,27,9.620414595,
groupes,parlementaires,27,9.620414595,
impôts,définit,27,9.620414595,
définit,régime,27,9.620414595,
inspection,travail,27,9.620414595,
proposé,ici,27,9.620414595,
coopératives,agricoles,27,9.620414595,
loi,liberté,27,9.620414595,
organisation,travail,27,9.620414595,
remédier,situation,27,9.620414595,
rétablir,rédaction,27,9.620414595,
modification,proposée,27,9.620414595,
puissent,bénéficier,27,9.620414595,
locaux,habitation,27,9.620414595,
seul,motif,27,9.620414595,
différence,traitement,27,9.620414595,
marché,produits,27,9.620414595,
pacte,stabilité,27,9.620414595,
assurer,continuité,27,9.620414595,
conditions,ressources,27,9.620414595,
année,précédente,27,9.620414595,
emploi,formation,27,9.620414595,
offre,logement,27,9.620414595,
maladies,professionnelles,27,9.620414595,
dépendance,économique,27,9.620414595,
livre,ier,27,9.620414595,
publics,relevant,27,9.620414595,
politiques,locales,27,9.620414595,
n,août,27,9.620414595,
services,fiscaux,27,9.620414595,
médiateur,relations,27,9.620414595,
second,lieu,27,9.620414595,
publique,caractère,27,9.620414595,
haine,violence,27,9.620414595,
œuvre,politique,27,9.620414595,
énergétique,bâtiments,27,9.620414595,
article,crée,27,9.620414595,drop
personnes,exerçant,27,9.620414595,
lutte,fraude,27,9.620414595,
petite,couronne,27,9.620414595,
objectifs,politique,27,9.620414595,
développement,territoires,27,9.620414595,
personnes,défavorisées,27,9.620414595,
eau,potable,27,9.620414595,
prévus,loi,27,9.620414595,
application,peine,27,9.620414595,
deniers,publics,27,9.620414595,
dépôt,garantie,27,9.620414595,
objectif,valeur,27,9.620414595,
fiscale,cadre,27,9.620414595,
péréquation,verticale,27,9.620414595,
formations,professionnelles,27,9.620414595,
nombre,moyen,27,9.620414595,
article,adopté,27,9.620414595,drop
candidats,élection,27,9.620414595,
origine,lieu,27,9.620414595,
lieu,provenance,27,9.620414595,
vise,sécuriser,27,9.620414595,intention
indicateurs,publics,27,9.620414595,
visite,médicale,27,9.620414595,
fondamentaux,nation,27,9.620414595,
accord,branche,27,9.620414595,
avis,simple,27,9.620414595,
systèmes,information,27,9.620414595,
respect,vie,27,9.620414595,
justice,sociale,27,9.620414595,
grande,transparence,27,9.620414595,
développement,apprentissage,27,9.620414595,
ailleurs,article,27,9.620414595,drop
semble,opportun,27,9.620414595,
titre,ier,27,9.620414595,
réseau,chambres,27,9.620414595,
ministre,transition,27,9.620414595,
proposé,maintenir,27,9.620414595,
version,adoptée,27,9.620414595,
guichet,unique,27,9.620414595,
parcours,formation,27,9.620414595,
secret,professionnel,27,9.620414595,
impôt,modernisation,27,9.620414595,
propriétaires,immeubles,27,9.620414595,
matière,transparence,27,9.620414595,
conseillers,municipaux,27,9.620414595,
sraddet,srcae,27,9.620414595,
bâtiments,publics,27,9.620414595,
vise,établir,27,9.620414595,drop
vise,ouvrir,27,9.620414595,drop
séance,publique,27,9.620414595,
nouvelle,procédure,27,9.620414595,
désertification,médicale,27,9.620414595,
impact,projet,27,9.620414595,
poursuites,judiciaires,27,9.620414595,
qpc,octobre,27,9.620414595,
législative,code,27,9.620414595,
taux,csg,27,9.620414595,
dépenses,acquisition,27,9.620414595,
parcours,soins,27,9.620414595,
article,additionnel,27,9.620414595,drop
unique,formation,27,9.620414595,
compétentes,matière,27,9.620414595,
propose,reporter,27,9.620414595,intention
déclaration,paiement,27,9.620414595,
directive,parlement,27,9.620414595,
amendement,souhaitent,27,9.620414595,drop
mesure,simplification,27,9.620414595,
finances,initiale,27,9.620414595,
état,urgence,27,9.620414595,
communauté,communes,27,9.620414595,actor
reconnues,utilité,27,9.620414595,
compagnes,compagnons,27,9.620414595,
travail,temps,27,9.620414595,
bonnes,conditions,27,9.620414595,
conforme,abf,27,9.620414595,drop
durée,limitée,27,9.620414595,
an,emprisonnement,27,9.620414595,
individualisation,frais,27,9.620414595,
assurer,meilleure,26,9.658154923,
opérateurs,plateforme,26,9.658154923,
nouvelle,organisation,26,9.658154923,
loi,mai,26,9.658154923,
tribunal,grande,26,9.658154923,
titre,iii,26,9.658154923,
déjà,missions,26,9.658154923,
parlement,évaluer,26,9.658154923,
également,proposé,26,9.658154923,
articles,loi,26,9.658154923,drop
loi,dite,26,9.658154923,
associations,protection,26,9.658154923,
membre,famille,26,9.658154923,
inscrit,logique,26,9.658154923,
bénéfice,dispositif,26,9.658154923,
y,faire,26,9.658154923,
article,paragraphe,26,9.658154923,drop
menuiseries,extérieures,26,9.658154923,
logement,urbanisme,26,9.658154923,
ensemble,dispositions,26,9.658154923,
prévues,articles,26,9.658154923,drop
nuisances,sonores,26,9.658154923,
représentants,locataires,26,9.658154923,
procédure,contradictoire,26,9.658154923,
y,ans,26,9.658154923,
charges,sociales,26,9.658154923,
national,développement,26,9.658154923,
solidarité,financière,26,9.658154923,
texte,prévoit,26,9.658154923,
déjà,cas,26,9.658154923,
impact,mesure,26,9.658154923,
prévention,éducation,26,9.658154923,
exercice,missions,26,9.658154923,
fixation,prix,26,9.658154923,
montant,maximal,26,9.658154923,
besoin,financement,26,9.658154923,
financement,état,26,9.658154923,
compétence,eau,26,9.658154923,
ile,france,26,9.658154923,
activités,conseil,26,9.658154923,
résidence,alternée,26,9.658154923,
territoire,commune,26,9.658154923,
santé,environnement,26,9.658154923,
proposé,vise,26,9.658154923,
manque,moyens,26,9.658154923,
vise,adapter,26,9.658154923,intention
lever,ambiguïté,26,9.658154923,
agglomération,nouvelle,26,9.658154923,
prévoit,remise,26,9.658154923,
fixer,délai,26,9.658154923,
âgés,ans,26,9.658154923,
passeport,talent,26,9.658154923,
traitements,données,26,9.658154923,
discrimination,haine,26,9.658154923,
aménagement,commercial,26,9.658154923,
santé,consommateurs,26,9.658154923,
français,notamment,26,9.658154923,
service,civique,26,9.658154923,
réseaux,communications,26,9.658154923,
hébergement,personnes,26,9.658154923,
début,année,26,9.658154923,
aides,publiques,26,9.658154923,
prévu,alinéa,26,9.658154923,
représentants,parlement,26,9.658154923,
visant,instaurer,26,9.658154923,
élections,législatives,26,9.658154923,
bénéfices,agricoles,26,9.658154923,
titre,année,26,9.658154923,
immigration,intégration,26,9.658154923,
aide,accession,26,9.658154923,
financement,fonds,26,9.658154923,
euros,euros,26,9.658154923,
rédaction,alinéa,26,9.658154923,
principes,fondamentaux,26,9.658154923,
connexion,internet,26,9.658154923,
délai,prescription,26,9.658154923,
acquis,expérience,26,9.658154923,
opérateurs,économiques,26,9.658154923,
logement,intermédiaire,26,9.658154923,
conditions,application,26,9.658154923,
vise,associer,26,9.658154923,intention
caractère,industriel,26,9.658154923,
comité,social,26,9.658154923,
gouvernement,annoncé,26,9.658154923,
territoriales,groupements,26,9.658154923,
recours,contentieux,26,9.658154923,
vie,professionnelle,26,9.658154923,
collectivités,compétentes,26,9.658154923,
obligation,mettre,26,9.658154923,
locaux,urbanisme,26,9.658154923,
impôt,solidarité,26,9.658154923,
difficultés,économiques,26,9.658154923,
indicateurs,relatifs,26,9.658154923,
efficacité,dispositif,26,9.658154923,
assiette,impôt,26,9.658154923,
aller,venir,26,9.658154923,
visant,améliorer,26,9.658154923,
propose,renforcer,26,9.658154923,intention
outil,essentiel,26,9.658154923,
respecter,principes,26,9.658154923,
exigences,constitutionnelles,26,9.658154923,
décret,décembre,26,9.658154923,
changements,climatiques,26,9.658154923,
propose,compléter,26,9.658154923,intention
décisions,justice,26,9.658154923,
faire,aider,26,9.658154923,
choisir,mode,26,9.658154923,
mode,déclaration,26,9.658154923,
montant,taxe,26,9.658154923,
limiter,effets,26,9.658154923,
pleine,entière,26,9.658154923,
agent,public,26,9.658154923,
conseil,municipal,26,9.658154923,
sein,entreprise,26,9.658154923,
mention,valorisante,26,9.658154923,
développement,autoconsommation,26,9.658154923,
isolants,portes,26,9.658154923,
charles,gaulle,26,9.658154923,
habitation,loyer,26,9.658154923,
âgées,handicapées,25,9.697375636,
loi,modernisation,25,9.697375636,
ordonnance,n,25,9.697375636,
second,temps,25,9.697375636,
public,intérêt,25,9.697375636,
compensation,handicap,25,9.697375636,
sommes,versées,25,9.697375636,
appels,offres,25,9.697375636,
vise,autoriser,25,9.697375636,intention
réelles,fonctionnement,25,9.697375636,
demandes,autorisation,25,9.697375636,
souhaitable,dispositions,25,9.697375636,
confiance,fassent,25,9.697375636,
dispositions,cas,25,9.697375636,
préférable,confier,25,9.697375636,
rôle,domaine,25,9.697375636,
compétence,instance,25,9.697375636,
instance,ores,25,9.697375636,
constitutionnelles,assister,25,9.697375636,
assister,parlement,25,9.697375636,
évaluer,politiques,25,9.697375636,
publiques,coopération,25,9.697375636,
coopération,appelée,25,9.697375636,
appelée,renforcer,25,9.697375636,
travail,contrôle,25,9.697375636,
place,bureau,25,9.697375636,
haute,valeur,25,9.697375636,
principe,valeur,25,9.697375636,
portant,atteinte,25,9.697375636,
durée,validité,25,9.697375636,
introduite,loi,25,9.697375636,
objectif,favoriser,25,9.697375636,
orientation,professionnelle,25,9.697375636,
conséquences,négatives,25,9.697375636,
lors,discussions,25,9.697375636,
parlement,gouvernement,25,9.697375636,
légale,notion,25,9.697375636,
exploitation,agricole,25,9.697375636,
vis,vis,25,9.697375636,
cas,absence,25,9.697375636,
nouveaux,entrants,25,9.697375636,
année,suivante,25,9.697375636,
charge,financière,25,9.697375636,
cadre,grandes,25,9.697375636,
apparaît,opportun,25,9.697375636,
prévoit,mise,25,9.697375636,
délivrance,titre,25,9.697375636,
pouvoir,exécutif,25,9.697375636,
mesure,permettrait,25,9.697375636,
vise,promouvoir,25,9.697375636,intention
révision,valeurs,25,9.697375636,
contrats,conclus,25,9.697375636,
territoriale,corse,25,9.697375636,
amendement,tire,25,9.697375636,drop
lors,mise,25,9.697375636,
mesure,permettra,25,9.697375636,
conseil,vente,25,9.697375636,
exercice,fonctions,25,9.697375636,
transferts,compétences,25,9.697375636,
matière,gestion,25,9.697375636,
conseils,municipaux,25,9.697375636,
conditions,transferts,25,9.697375636,
article,habilite,25,9.697375636,intention
déjà,engagés,25,9.697375636,
amendement,précédent,25,9.697375636,drop
titre,iv,25,9.697375636,
wallis,futuna,25,9.697375636,
iv,article,25,9.697375636,drop
nouvelle,catégorie,25,9.697375636,
proposé,permettre,25,9.697375636,
certificat,information,25,9.697375636,
constitue,frein,25,9.697375636,
cotisations,contributions,25,9.697375636,
alinéa,loi,25,9.697375636,
crimes,délits,25,9.697375636,
objet,proposition,25,9.697375636,
transports,publics,25,9.697375636,
versement,transport,25,9.697375636,
livre,préliminaire,25,9.697375636,
préliminaire,code,25,9.697375636,
contrats,durée,25,9.697375636,
prise,position,25,9.697375636,
article,instaure,25,9.697375636,intention
centres,villes,25,9.697375636,
part,significative,25,9.697375636,
pourront,bénéficier,25,9.697375636,
constitutionnel,décision,25,9.697375636,
consentement,impôt,25,9.697375636,
urbanisme,rénové,25,9.697375636,
soumis,obligation,25,9.697375636,
open,data,25,9.697375636,
globale,fonctionnement,25,9.697375636,
septembre,relative,25,9.697375636,
incompatible,exercice,25,9.697375636,
infractions,considérées,25,9.697375636,
considérées,incompatibles,25,9.697375636,
production,prix,25,9.697375636,
grande,précarité,25,9.697375636,
vise,tenir,25,9.697375636,drop
supprimer,dispositions,25,9.697375636,
sociale,généralisée,25,9.697375636,
salariés,entreprises,25,9.697375636,
objet,contrat,25,9.697375636,
solidarité,nationale,25,9.697375636,
faites,femmes,25,9.697375636,
mise,location,25,9.697375636,
plan,vente,25,9.697375636,
décisions,prises,25,9.697375636,
travers,amendement,25,9.697375636,
fenêtres,volets,25,9.697375636,
soins,médicaux,25,9.697375636,
titre,ii,25,9.697375636,
hydrocarbures,liquides,25,9.697375636,
proposition,résolution,25,9.697375636,support
communes,communautés,25,9.697375636,drop
administration,mieux,25,9.697375636,
protection,animaux,25,9.697375636,
permettre,collectivités,25,9.697375636,
développement,projets,25,9.697375636,
locaux,territoires,25,9.697375636,
relance,construction,25,9.697375636,
vote,loi,25,9.697375636,
nouvel,impôt,25,9.697375636,
agit,également,25,9.697375636,
compte,indicateurs,25,9.697375636,
rénovation,urbaine,25,9.697375636,
signes,qualité,25,9.697375636,
année,n,25,9.697375636,
permet,administration,25,9.697375636,
déduction,fiscale,25,9.697375636,
coordination,juridique,25,9.697375636,
cours,dernières,25,9.697375636,
base,imposition,25,9.697375636,
disposer,informations,25,9.697375636,
qpc,novembre,25,9.697375636,
marges,manœuvre,25,9.697375636,
dégrèvement,taxe,25,9.697375636,
états,territoires,25,9.697375636,
pratiques,commerciales,25,9.697375636,
ici,proposé,25,9.697375636,
lien,direct,25,9.697375636,
surface,supérieure,25,9.697375636,
mesures,visant,25,9.697375636,
obligation,personnes,25,9.697375636,
nouveaux,logements,25,9.697375636,
entrée,donnant,25,9.697375636,
contrôle,état,25,9.697375636,
employeurs,représentatives,25,9.697375636,
rapport,remis,25,9.697375636,drop
meilleurs,délais,25,9.697375636,
économiques,sociales,25,9.697375636,
protection,internationale,25,9.697375636,
impôt,faveur,25,9.697375636,
compagnons,emmaüs,25,9.697375636,
caractère,obligatoire,25,9.697375636,
bon,nombre,25,9.697375636,
contrat,ville,25,9.697375636,
objectif,préciser,25,9.697375636,
police,nationale,25,9.697375636,